2021/01/22 09:01:42 [crit] 22920#22920: *3798 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 208.93.152.100, server: 0.0.0.0:443
2021/01/22 09:01:42 [crit] 22920#22920: *3795 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 208.93.152.100, server: 0.0.0.0:443
2021/01/22 09:01:47 [crit] 22920#22920: *3801 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 208.93.152.100, server: 0.0.0.0:443
2021/01/22 09:01:47 [crit] 22920#22920: *3805 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 208.93.152.100, server: 0.0.0.0:443
2021/01/22 11:03:24 [crit] 22920#22920: *3811 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 38.88.252.189, server: 0.0.0.0:443
2021/01/22 21:03:00 [crit] 22920#22920: *3876 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 66.193.205.122, server: 0.0.0.0:443
2021/01/22 21:46:49 [crit] 22920#22920: *3878 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 185.56.81.52, server: 0.0.0.0:443
2021/01/22 23:13:18 [crit] 22920#22920: *3888 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 178.73.215.171, server: 0.0.0.0:443
2021/01/22 23:13:30 [crit] 22920#22920: *3892 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 178.73.215.171, server: 0.0.0.0:443
2021/01/23 00:39:00 [crit] 22920#22920: *3902 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 192.241.223.68, server: 0.0.0.0:443
2021/01/23 00:39:02 [crit] 22920#22920: *3906 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.223.68, server: 0.0.0.0:443
2021/01/23 01:24:41 [crit] 22920#22920: *3918 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 50.116.61.236, server: 0.0.0.0:443
2021/01/23 01:33:38 [crit] 22920#22920: *3919 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 92.118.160.13, server: 0.0.0.0:443
